alpha,attack,coeff_row,coeff_col,mean_abs_change,std_abs_change,median_abs_change,mean_rel_change
0.05,real_esrgan,5,4,3.9244374375010675,3.905117073163839,2.4424859567814154,7.785358678261429
0.05,real_esrgan,5,5,3.716313790196984,3.7168165430362614,2.42665952586878,3.1376508061595714
0.05,real_esrgan,5,6,3.5811100961895237,3.6090044986169665,2.2288537471023595,3.4470720848493044
0.05,real_esrgan,5,7,3.3986792621187636,3.529250991330353,2.0844425857827793,2.8804248681420193
0.05,real_esrgan,6,0,5.4643093290712486,6.932476198028682,3.1148365722967366,1.8753748996785446
0.05,real_esrgan,6,1,4.664071861344637,5.1183833744842255,3.0867903890844763,2.6148490878895365
0.05,real_esrgan,6,2,4.215221135951358,4.453903686290074,2.7973451413698007,2.101890353728423
0.05,real_esrgan,6,3,3.936023165818627,4.005166535691096,2.5391477548610264,2.310867739488928
0.05,real_esrgan,6,4,3.7222899925065063,3.818071529024595,2.369808808791011,2.7066911483619487
0.05,real_esrgan,6,5,3.626466352677251,3.639609171500538,2.275355647949806,2.3334825725193338
0.05,real_esrgan,6,6,3.447025550057678,3.564307963019432,2.107306958693772,5.381752648886346
0.05,real_esrgan,6,7,3.4108584970432294,3.502095881487947,2.0764094761284726,6.622489448798076
0.05,real_esrgan,7,0,5.347932729830255,6.897184450834941,3.1082596785750836,2.692259885856252
0.05,real_esrgan,7,1,4.454881880120533,5.098385187553107,2.7363668413540383,2.4621505068842353
0.05,real_esrgan,7,2,4.070019570223772,4.38776210205923,2.641629759416882,2.555705085892087
0.05,real_esrgan,7,3,3.7607291767262074,3.9286876538259095,2.326549295078583,2.2656171078479654
0.05,real_esrgan,7,4,3.6325446668537666,3.725490893199002,2.2113446633771723,2.7566140095791978
0.05,real_esrgan,7,5,3.4706652831017517,3.6427300449656403,2.087151693125274,3.3610138793256152
0.05,real_esrgan,7,6,3.434441777147021,3.555800919339894,2.0768231876737353,3.7178182497302834
0.05,real_esrgan,7,7,3.2654470668133655,3.528506902037036,1.977672384547303,2.895542699209345
0.05,jpeg_q50,0,0,4.1869135198974625,3.201705359743558,3.530828125000312,0.0027325321234436773
0.05,jpeg_q50,0,1,3.606981601272074,2.7021030345348795,3.0850497835197004,0.8268790796105752
0.05,jpeg_q50,0,2,2.7780304491617316,2.1294673035487097,2.352167926055407,1.1175934670492114
0.05,jpeg_q50,0,3,3.0809526672664003,2.377583290442354,2.5279054399226304,2.196602910977346
0.05,jpeg_q50,0,4,3.334007048950196,2.6752112473435363,2.6101562500000046,14.508116691810047
0.05,jpeg_q50,0,5,3.5340502508788814,2.8152351093762435,2.8485921366223703,3.980953298643604
0.05,jpeg_q50,0,6,4.108515409524112,3.5221425895989555,3.2669919194998256,5.230684789879345
0.05,jpeg_q50,0,7,3.999260181373471,3.2727119529478914,3.1404319237348446,4.287656892098258
0.05,jpeg_q50,1,0,3.705770721945653,2.7412230243783697,3.158969266971852,0.645051174194107
0.05,jpeg_q50,1,1,3.471845031536739,2.61127032443047,2.9618500709421136,1.947312656814667
0.05,jpeg_q50,1,2,2.766172536736091,2.135644981814293,2.3479978980523226,1.5239581439804877
0.05,jpeg_q50,1,3,3.0543990111349286,2.3708128698091033,2.519378336941704,2.6046836392445076
0.05,jpeg_q50,1,4,4.120344490874614,3.1538400989219766,3.485854957640556,0.9804669811230425
0.05,jpeg_q50,1,5,3.5080755742453467,2.827987357002499,2.72544735491575,3.6489249774404793
0.05,jpeg_q50,1,6,4.138455724852907,3.569368113749113,3.244530792048331,2.5196770014403196
