image,alpha,model,attack_name,nc,ber,psnr_after_attack,ssim_after_attack,runtime_s,out_h,out_w
kodim06,0.1,fsrcnn,fsrcnn_x4,0.9921875,0.00390625,38.948498493853585,0.979542171126686,0.1049559116363525,512,512
kodim06,0.2,fsrcnn,fsrcnn_x4,0.994140625,0.0029296875,38.724995403745496,0.9787527463912324,0.1078329086303711,512,512
kodim06,0.3,fsrcnn,fsrcnn_x4,0.998046875,0.0009765625,38.5127165689166,0.97793059152525,0.1040489673614502,512,512
kodim07,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,39.40654533351305,0.974892245843407,0.1036319732666015,512,512
kodim07,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,39.294096713818305,0.974437044191248,0.1026680469512939,512,512
kodim07,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,39.06175023559412,0.973462599879363,0.109562873840332,512,512
kodim07,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,38.83470923734231,0.972453953882515,0.1016089916229248,512,512
kodim08,0.05,fsrcnn,fsrcnn_x4,0.994140625,0.0029296875,36.52940357265163,0.9831396919294356,0.103724718093872,512,512
kodim08,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,36.39889081609674,0.9826676886617678,0.1035361289978027,512,512
kodim08,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,36.11326646769841,0.9816687757917458,0.1062510013580322,512,512
kodim08,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,35.838608591263544,0.9806612884334592,0.1016290187835693,512,512
kodim09,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,40.46364919320763,0.9712384873858524,0.1015350818634033,512,512
kodim09,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,40.38330071676611,0.970888157021506,0.104949951171875,512,512
kodim09,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,40.220576414731255,0.9701281004246508,0.1003141403198242,512,512
kodim09,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,40.04266108039839,0.969272308774034,0.1025810241699218,512,512
kodim10,0.05,fsrcnn,fsrcnn_x4,0.998046875,0.0009765625,40.47771575921633,0.9742094086685924,0.1040468215942382,512,512
kodim10,0.1,fsrcnn,fsrcnn_x4,0.998046875,0.0009765625,40.380158130013264,0.9738118165251782,0.1066718101501464,512,512
kodim10,0.2,fsrcnn,fsrcnn_x4,0.998046875,0.0009765625,40.19667296323088,0.9729737572838228,0.1023001670837402,512,512
kodim10,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,40.0002072933323,0.9720547603109968,0.1040611267089843,512,512
kodim11,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,39.76596442270211,0.9777244018763308,0.1025159358978271,512,512
kodim11,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,39.65799627242487,0.9772575779872652,0.116941213607788,512,512
kodim11,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,39.44790085446559,0.9763502232528084,0.1246099472045898,512,512
kodim11,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,39.25112622073723,0.975497868814264,0.1126909255981445,512,512
kodim12,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,40.78764260585055,0.973458763985232,0.1025652885437011,512,512
kodim12,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,40.71281329046669,0.973040119617619,0.1029081344604492,512,512
kodim12,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,40.56061698826184,0.9722108709120004,0.1023869514465332,512,512
kodim12,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,40.4200356393544,0.9714437930427294,0.1084630489349365,512,512
kodim13,0.05,fsrcnn,fsrcnn_x4,0.99609375,0.001953125,37.57510273578476,0.986208034892579,0.1051061153411865,512,512
kodim13,0.1,fsrcnn,fsrcnn_x4,0.99609375,0.001953125,37.449145310457574,0.985811670502484,0.10374116897583,512,512
kodim13,0.2,fsrcnn,fsrcnn_x4,0.998046875,0.0009765625,37.19232319925331,0.9849703089823466,0.1072580814361572,512,512
kodim13,0.3,fsrcnn,fsrcnn_x4,0.998046875,0.0009765625,36.939329227363665,0.9841402758153158,0.1021177768707275,512,512
