image,dataset,coefficient_pair,alpha,attack,nc,ber,psnr,ssim,esrgan_source
kodim08,kodak,standard,0.1,jpeg_q50,0.990234375,0.0048828125,28.773858396869837,0.90278337358576,
kodim08,kodak,standard,0.1,gaussian_blur,0.78515625,0.107421875,23.215760484137327,0.7845922091156047,
kodim08,kodak,balanced,0.1,none,1.0,0.0,39.49686442367695,0.9891675701987236,
kodim08,kodak,balanced,0.1,real_esrgan,0.55859375,0.220703125,26.513350649220044,0.9148636355518315,live_canonical
kodim08,kodak,balanced,0.1,jpeg_q50,1.0,0.0,28.95915649931335,0.905941052380611,
kodim08,kodak,balanced,0.1,gaussian_blur,0.90625,0.046875,23.251633198060937,0.7864927225813951,
kodim08,kodak,hf,0.1,none,1.0,0.0,43.67685875039494,0.9942791724521696,
kodim08,kodak,hf,0.1,real_esrgan,0.658203125,0.1708984375,26.63434373619765,0.9156143828038235,disk_precomputed_canonical
kodim08,kodak,hf,0.1,jpeg_q50,0.94921875,0.025390625,29.20139209043041,0.9114648047426858,
kodim08,kodak,hf,0.1,gaussian_blur,0.962890625,0.0185546875,23.311712140756708,0.79188543217508,
kodim09,kodak,standard,0.1,none,1.0,0.0,41.924849419178905,0.9760740583476881,
kodim09,kodak,standard,0.1,real_esrgan,0.755859375,0.1220703125,32.10975861761006,0.933057025504571,disk_precomputed_canonical
kodim09,kodak,standard,0.1,jpeg_q50,0.998046875,0.0009765625,33.60929167026502,0.8988295956007865,
kodim09,kodak,standard,0.1,gaussian_blur,0.955078125,0.0224609375,30.75679903376695,0.9033989894574486,
kodim09,kodak,balanced,0.1,none,1.0,0.0,42.170314271569794,0.9774790253384876,
kodim09,kodak,balanced,0.1,real_esrgan,0.791015625,0.1044921875,32.082568418519195,0.93360041624713,live_canonical
kodim09,kodak,balanced,0.1,jpeg_q50,1.0,0.0,33.73178275547625,0.9058822373567256,
kodim09,kodak,balanced,0.1,gaussian_blur,0.974609375,0.0126953125,30.757004662550862,0.9028820821224975,
kodim09,kodak,hf,0.1,none,1.0,0.0,44.63207649035902,0.9824038777477387,
